#id  z  band  RA  DEC  qso_mag  host_mag  sersic_index  reff_arcsec  reduced_chisq
010230.03-003206.8    0.343 I     15.625149727  -0.535227001   19.05   18.78  2.06  1.11  1.31
010407.00+011412.9    0.312 I     16.029197693   1.236930013   19.06   17.97  2.15  1.44  2.54
010407.00+011412.9    0.312 G     16.029197693   1.236930013   18.91   19.28  1.90  1.51  4.16
010230.03-003206.8    0.343 G     15.625149727  -0.535227001   19.18   20.50  2.66  1.08  1.57
010407.00+011412.9    0.312 R     16.029197693   1.236930013   18.95   18.39  2.14  1.52  6.77
011629.80+005359.0    0.352 I     19.124168396   0.899747014   20.02   19.08  1.58  0.80  1.28
001010.03+005126.6    0.387 I      2.541802883   0.857401013   19.50   18.78  1.49  0.68  1.90
010230.03-003206.8    0.343 R     15.625149727  -0.535227001   19.16   19.37  2.05  1.11  1.42
011629.80+005359.0    0.352 G     19.124168396   0.899747014   20.06   20.47  1.98  0.78  1.42
011629.80+005359.0    0.352 R     19.124168396   0.899747014   19.89   19.53  1.64  0.86  2.50
012050.94-001832.9    0.349 I     20.212263107  -0.309165001   19.63   18.57  7.00  2.18  1.18
012050.94-001832.9    0.349 G     20.212263107  -0.309165001   18.99   20.28  6.40  2.48  2.40
001010.03+005126.6    0.387 G      2.541802883   0.857401013   19.72   20.38  2.09  0.58  1.12
012050.94-001832.9    0.349 R     20.212263107  -0.309165001   18.90   19.23  6.41  2.48  2.40
001010.03+005126.6    0.387 R      2.541802883   0.857401013   19.45   19.33  1.35  0.70  1.62
013015.10+002557.2    0.336 I     22.562931061   0.432565004   19.42   18.60  0.87  1.54  2.71
013015.10+002557.2    0.336 G     22.562931061   0.432565004   19.86   20.11  0.74  1.60  2.09
013015.10+002557.2    0.336 R     22.562931061   0.432565004   19.74   19.12  0.69  1.54  5.60
085229.48+024713.8    0.335 I    133.122833252   2.787190914   18.30   19.28  0.72  1.51  2.47
085229.48+024713.8    0.335 G    133.122833252   2.787190914   18.57   20.38  0.56  1.68  2.10
